xcorr,deltacn,sprank,ions,calc_neutral_pep_mass,label
2.036,0.196,15,1460,1865.1198,1
1.664,0.181,6,1660,1865.1198,1
1.026,0.207,32,2408,1506.6793,1
0.873,0.06,14,805,687.7478,1
2.33,0.232,1,2160,1865.1198,1
1.479,0.074,1,2064,1842.2299,1
1.88,0.084,12,1772,2289.6628,1
0.635,0.008,56,1205,742.7471,1
1.113,0.019,44,1452,1474.8254,1
1.136,0.031,7,2210,1389.5748,1
1.163,0.018,29,2208,1390.5192,1
1.752,0.283,48,2206,1389.5748,1
1.78,0.171,5,1668,1958.2475,1
2.343,0.249,6,1984,2411.611,1
3.311,0.421,1,2084,2664.0593,1
1.303,0.002,36,1572,2208.5461,1
2.042,0.045,70,1784,2362.3684,1
1.883,0.073,4,18112,3142.5561,1
1.405,0.147,1,3011,1792.0405,1
2.197,0.034,297,1480,2426.6404,1
1.543,0.026,18,1572,2108.1602,1
1.584,0.006,1,1992,2605.0039,1
1.474,0.054,22,1776,2190.4406,1
1.608,0.11,8,1788,2490.5365,1
1.646,0.027,19,1896,2877.352,1
1.283,0.032,46,834,2005.4058,1
1.393,0.029,18,1680,2448.7149,1
1.943,0.032,1,23116,3264.4847,1
1.948,0.053,43,1696,2890.3538,1
2.324,0.246,4,21104,3099.4045,1
1.422,0.154,38,836,2175.4235,1
1.923,0.019,2,1996,2885.3765,1
1.02,0.083,22,1607,989.0098,1
0.989,0.006,15,2408,1466.5761,1
1.39,0.04,7,1980,2203.3112,1
0.661,0.04,95,803,595.6591,1
1.087,0.027,2,1856,1561.7238,1
1.763,0.208,27,838,2116.2785,1
0.996,0.035,76,2407,1343.553,1
1.396,0.011,39,2608,1405.4791,1
0.868,0.126,1,1810,934.925,1
0.706,0.022,20,603,399.4478,1
0.437,0.047,5,603,405.3654,1
0.512,0.047,8,603,361.3556,1
1.199,0.249,43,940,1273.3275,1
1.014,0.047,102,840,1273.3275,1
0.854,0.096,3,1048,1260.3238,1
0.923,0.09,11,1608,874.9469,1
0.826,0.024,20,1606,1007.2449,1
1.4,0.21,24,1810,1001.1578,1
1.485,0.057,72,1448,1400.5981,1
0.684,0.037,93,1405,818.8394,1
1.605,0.256,3,1856,1579.6469,1
0.976,0.061,4,1608,917.0709,1
0.903,0.071,20,1807,990.0355,1
0.895,0.027,3,1207,702.763,1
1.297,0.124,22,1808,1001.1578,1
0.994,0.054,2,1344,1259.4686,1
1.383,0.13,13,1140,1273.3275,1
0.956,0.109,59,1607,903.0067,1
1.258,0.038,50,1809,1001.1578,1
1.488,0.008,43,1760,1516.6843,1
